reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_length,month
917d3ebc-3ab7-43e7-8363-92a91ef9049a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Excellent and chilled 👌,5,0,13.17.0,2022-09-30 04:59:07,,,13.17.0,23.0,2022-09
064d691b-69c7-4d43-8223-7a84f37c68b5,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Always good to be here,5,0,10.3.0,2018-12-08 20:38:04,,,10.3.0,22.0,2018-12
b31a3aa6-5448-4871-a9de-c292c8de78a2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This nonsense is comparable to gambling. you pay once and they allow you to get 3 matches. next time you pay you get bots which are usually Ai generated Asian girls. I never believed in online dating but this app and all the others like it (owned by the same parent company)are an exploitative emotional scam. To all the men out there please just grow the stones to approach women in public. there is no shame in that even if they reject you (always be reasonable on your approach though),1,0,16.10.1,2025-06-20 10:15:57,,,16.10.1,488.0,2025-06
2f673d46-4780-42e5-a9fb-1911a52a1b8d,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Not a great app. Money grab. Lol if you're not on for a while because there's no results without paying money it sends you a notification that your profile is about to be hidden..what a joke. Lol When you click the notification they hit you up with an offer.. get 50% for the first month 😄 no thanks.,1,0,16.2.1,2025-02-25 14:29:42,,,16.2.1,300.0,2025-02
be7ae456-b429-4c28-9c55-96cf37c92abc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Won't let me upload any more photos, needs to fix the bug on that. Other than that everything's great :)",4,0,2.2.1,2014-03-25 21:29:11,"Hi Alex, thanks for trying out Tinder. Make sure you have the latest version of Tinder and your pictures are in a Facebook album that your friends can view (not you only). You can also try moving the pictures to a different album on Facebook. Note: Tinder only support Android 2.2 and up. I hope you'll consider giving us a better rating!
",2014-05-07 06:43:53,2.2.1,104.0,2014-03
6af8f25a-8481-4ff5-9068-a343e8a20cd5,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This complaint is out of the ordinary. I'm one of those guys that messes with their phone. I currently have an unrooted 2015 Moto X Pure and I changed the DPI to 400. Even after clearing cache, data, uninstalling, and reinstalling, Tinder crashes without fail, and it's the only app I use that does. Can you help a tech geek out with a fix? I really don't want to change my DPI for one app.",4,0,5.4.1,2016-08-24 04:54:33,,,5.4.1,390.0,2016-08
30f72245-62e7-4260-b7f2-31519f306210,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Its nice and i love it.,5,0,11.8.1,2020-04-24 08:10:28,,,11.8.1,23.0,2020-04
a7f74c7c-d494-41c6-bf6b-334692092cf1,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Great concept. Good and easy to use but crashes a lot and sometimes takes a long time to load on Android. The iPhone version is much more user friendly,4,0,1.5.4,2013-10-09 21:43:48,,,1.5.4,151.0,2013-10
a230d10f-6793-463e-b78f-68c9bad779b0,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nice people great fun,5,0,,2018-02-23 05:50:49,,,,21.0,2018-02
35f859b1-0f4c-43a2-897b-88ae34f3bd61,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,So I have never had this app never even crossed my mind until recently. Tried to create account and automatically I was banned? How am I banned when I have never had an account? Tried to contact their help/account appeal and other areas and got absolutely no where. Edit: that doesent work tinder... I've already tried that.,1,6,15.1.0,2024-02-28 06:04:11,"Thank you for sharing this. You can visit our ‘Troubleshooting’ section at gotinder.com/faq to find some articles that might help to resolve your issue. If you can’t find what you’re looking for or if you’re still experiencing issues, please reach out to us at gotinder.com/help and we’ll be happy to help!",2024-02-11 01:43:08,15.1.0,324.0,2024-02
